Done,Date,Log name,Asset IDs,Asset names,Areas,Notes,Categories,Quantity measure,Quantity value,Quantity unit,Quantity label,Lot number
,2018-10-08,,,Lettuce,ALF 3,,,,20,Head,,
,2018-10-08,,,Lettuce: Mes Mix,ALF 3,,,,52,Pounds,,
,2018-10-08,,,Peppers: Bell,SQ 6,,,,43.8462,Each,,
,2018-10-08,,,Peppers: Bell,SQ 6,,,,100,Each,,
,2018-10-08,,,Radicchio,ALF 1,,,,2.5,Pounds,,
,2018-10-08,,,Radicchio,ALF 1,,,,11.2676,Pounds,,
,2018-10-08,,,Scallions,SQ 5,,,,22,Bunches,,
,2018-10-08,,,Spinach,ALF 3,,,,30,Pounds,,
,2018-10-08,,,Turnips,ALF 1,,,,16.25,Bunches,,
,2018-10-11,,,Bokchoy,ALF 3,,,,38,Head,,
,2018-10-11,,,Broccoli,SQ 3,,,,1.5,Pounds,,
,2018-10-11,,,Broccoli,SQ 10,,,,9.5,Pounds,,
,2018-10-11,,,Cauliflower,SQ 5,,,,19.5,Head,,
,2018-10-11,,,Cauliflower,SQ 10,,,,17.5,Head,,
,2018-10-11,,,Chard,SQ 3,,,,38,Bunches,,
,2018-10-11,,,Radishes: Daikon,ALF 1,,,,18,Bunches,,
,2018-10-11,,,Scallions,SQ 5,,,,10,Bunches,,
,2018-10-11,,,Turnips,ALF 1,,,,4,Bunches,,
,2018-10-15,,,Broccoli,ALF 3,,,,13.5,Pounds,,
,2018-10-15,,,Broccoli,SQ 3,,,,4.5,Pounds,,
,2018-10-15,,,Kale,SQ 3,,,,51,Bunches,,
,2018-10-15,,,Lettuce: Mes Mix,ALF 1,,,,48,Pounds,,
,2018-10-15,,,Spinach,ALF 1,,,,30,Pounds,,
,2018-10-22,,,Bokchoy,ALF 3,,,,20,Head,,
,2018-10-22,,,Broccoli,SQ 10,,,,2.5,Pounds,,
,2018-10-22,,,Broccoli,SQ 3,,,,9.5,Pounds,,
,2018-10-22,,,Cauliflower,SQ 10,,,,3.5,Head,,
,2018-10-22,,,Cauliflower,SQ 5,,,,18.5,Head,,
,2018-10-22,,,Kale,SQ 3,,,,40,Bunches,,
,2018-10-22,,,Kale,SQ 3,,,,8,Bunches,,
,2018-10-22,,,Lettuce,ALF 3,,,,70,Head,,
,2018-10-22,,,Scallions,SQ 5,,,,60,Bunches,,
