"Done","Date","Log name","Asset IDs","Asset names","Archive assets","Areas","Notes","Categories","Invoice number","Lot number","Quantity","Units","Unit price","Total price","Seller"
"no","2018-02-01",,,"Tomatoes: Slicing",,,"Mtn Merit","Seed","BACKUP",,,,,,"HIGH MOWING"
"no","2018-02-01",,,"Tomatoes: Slicing",,,"Mtn Merit","Seed","BACKUP",,,,,,"SEEDWAY"
"no","2018-02-01",,,"Tomatoes: Slicing",,,"Red Duce","Seed","BACKUP",,,,,,"JOHNNY'S"
"no","2018-02-01",,,"Tomatoes: Slicing",,,"Red Duce","Seed","BACKUP",,,,,,"HIGH MOWING"
"no","2018-02-01",,,"Turnips",,,"Hakurei","Seed","BACKUP",,,,,,"HIGH MOWING"
"no","2018-02-01",,,"Turnips",,,"Hakurei","Seed","BACKUP",,,,,,"SEEDWAY"
"no","2018-02-01",,,"Watermelons",,,"Dark Belle","Seed","BACKUP",,,,,,"HIGH MOWING"
"no","2018-02-01",,,"Watermelons",,,"Dark Belle","Seed","BACKUP",,,,,,"SEEDWAY"
"no","2018-02-01",,,"Watermelons",,,"Little Baby Flower","Seed","BACKUP",,,,,,"HIGH MOWING"
"no","2018-02-01",,,"Watermelons",,,"Little Baby Flower","Seed","BACKUP",,,,,,"SEEDWAY"
"no","2018-02-01",,,"Zucchini",,,"Spineless Perfection","Seed","BACKUP",,,,,,"HIGH MOWING"
"no","2018-02-01",,,"Zucchini",,,"Spineless Perfection","Seed","BACKUP",,,,,,"SEEDWAY"
